,term,causal,coef,antonyms_opposite_coef,antonyms,antonym_source
1139,healthy,0,1.074,"{'plain': 0.115, 'loss': 0.368, 'cool': 0.793}",{'ill': -0.232},antonym
1140,married,0,0.345,{'plain': 0.115},{'plain': -0.167},antonym
1141,american,0,0.252,{'white': 0.006},{'white': -0.2},antonym
1142,uses,0,-0.664,{'lose': 0.656},"{'sell': 0.128, 'lose': 0.122}",antonym
1143,training,0,-0.105,"{'ready': 1.14, 'forget': 0.772, 'start': 0.662, 'stay': 0.14}","{'ready': 1.922, 'start': 0.329, 'stay': 0.399}",synonym_antonym
1144,obvious,0,-1.236,"{'solid': 1.239, 'clear': 0.375, 'fat': 0.028, 'complex': 0.234, 'close': 0.595}","{'solid': 1.16, 'clear': 0.019, 'fat': 0.028, 'complex': 0.208, 'close': 1.103}",synonym_antonym
1145,beauty,0,-0.108,{'beautiful': 1.676},{'beautiful': 1.569},antonym
1146,faint,0,-0.108,{'good': 0.861},{'good': 1.216},antonym
1147,stories,0,-0.649,{},{'belief': 0.0},oov_antonym
1148,along,0,0.08,{},{'off': -0.388},antonym
1149,enough,0,0.269,{},{'unsatisfactory': 0.0},oov_antonym
1150,within,0,-0.266,{},{'outside': 0.108},antonym
1151,line,0,-0.356,{'clean': 1.006},"{'fire': 0.042, 'clean': 0.426}",antonym
1152,book,0,-0.032,"{'same': 0.15, 'male': 0.109, 'stay': 0.14, 'truth': 0.408}","{'stay': 0.399, 'truth': 1.129, 'answer': 0.183}",synonym_antonym
1153,moments,0,0.099,{'start': 0.662},"{'continue': -0.105, 'left': -0.593, 'slow': -1.023}",synonym_antonym
1154,scattered,0,-0.113,{'focused': 1.205},{'concentrated': 0.0},oov_antonym
1155,topic,0,0.061,"{'truth': 0.408, 'secondary': 0.16}","{'respect': -0.598, 'finish': -0.786, 'female': -1.742}",synonym_antonym
1156,cooper,0,-0.115,{'lose': 0.656},{'lose': 0.122},antonym
1157,felt,0,-0.899,{'stay': 0.14},{'stay': 0.399},synonym_antonym
1158,word,0,-0.578,"{'same': 0.15, 'hot': 1.766, 'late': 1.145, 'male': 0.109, 'familiar': 0.298, 'ordinary': 0.806, 'fair': 0.201, 'absolute': 0.446, 'break': 0.189, 'take': 0.54, 'important': 0.831, 'dominant': 0.928, 'natural': 0.58, 'secondary': 0.16}","{'current': 0.627, 'hot': 1.636, 'late': 1.256, 'ordinary': 0.806, 'take': 0.241, 'large': 0.285, 'important': 1.461, 'dominant': 0.215, 'secondary': 0.16}",synonym_antonym
1159,developed,0,-0.306,{'young': 0.431},{'undeveloped': 0.0},oov_antonym
1160,show,0,0.286,"{'take': 0.54, 'open': 0.645, 'recall': 0.338, 'close': 0.595}",{'ugly': -1.081},antonym
1161,suggest,0,0.756,{'ride': 1.83},"{'go': -0.151, 'immature': -0.475, 'adult': -0.674, 'female': -1.742, 'juvenile': -1.104, 'appear': -0.028}",synonym_antonym
1162,treasure,1,0.118,{'forget': 0.772},{'forget': -1.009},antonym
1163,planet,0,-0.124,{'father': 0.052},"{'light': 0.337, 'inside': 0.245, 'outside': 0.108, 'end': 0.821}",synonym_antonym
1164,steamy,0,0.138,{},{'soft': -0.189},antonym
1165,for,0,-0.04,{'loved': 2.366},"{'wanted': 0.057, 'loved': 2.508, 'welcome': 0.018}",antonym
1166,pulls,0,0.305,"{'ride': 1.83, 'cool': 0.793, 'go': 0.185, 'fall': 0.141, 'lose': 0.656, 'pull': 0.203}",{'push': -0.752},antonym
1167,pure,0,-0.342,"{'complex': 0.234, 'old': 0.154, 'safety': 0.709, 'solid': 1.239, 'clear': 0.375, 'male': 0.109, 'danger': 0.62}","{'complex': 0.208, 'safety': 0.709, 'dead': 0.511, 'solid': 1.16, 'clear': 0.019, 'danger': 0.126, 'minor': 0.249}",synonym_antonym
1168,fully,0,-0.196,{'light': 0.22},{'light': 0.337},synonym_antonym
1169,ingredients,0,-0.317,{'colorful': 0.538},{'black': 0.023},antonym
1170,instructions,0,-0.161,{},{'automatic': 0.0},oov_antonym
1171,it,0,-0.234,{},{'stupid': 0.0},oov_antonym
1172,numerous,0,-0.13,{'few': 0.116},{'few': 0.154},antonym
1173,seek,0,-0.125,"{'go': 0.185, 'fall': 0.141}","{'advance': 0.454, 'fall': 0.319}",antonym
1174,short,0,-0.226,{'long': 0.856},"{'long': 0.401, 'outside': 0.108}",antonym
1175,used,0,-0.522,{'young': 0.431},{'new': 0.361},synonym_antonym
1176,build,0,-0.4,"{'lose': 0.656, 'break': 0.189, 'age': 0.731, 'stay': 0.14}","{'organized': 0.653, 'head': 0.744, 'lose': 0.122, 'stay': 0.399}",synonym_antonym
1177,twisted,0,0.321,{'normal': 0.614},"{'dull': -1.066, 'real': -0.211}",synonym_antonym
1178,bad,1,-0.784,"{'best': 0.379, 'good': 0.861}","{'best': 0.525, 'good': 1.216}",antonym
1179,constantly,0,-0.013,{'never': 0.077},{'never': 0.0},oov_antonym
1180,dogs,0,-0.262,"{'start': 0.662, 'stay': 0.14}","{'start': 0.329, 'stay': 0.399}",antonym
1181,ghosts,0,0.309,{'stay': 0.14},{'real': -0.211},antonym
1182,literary,0,-0.13,{},{'informal': 0.0},oov_antonym
1183,grammatical,0,-0.242,{},{'incorrect': 0.0},oov_antonym
1184,gripping,1,0.379,{},{'uninteresting': -0.731},antonym
1185,crime,0,0.026,{'best': 0.379},{'worst': -1.792},antonym
1186,fell,0,-0.218,"{'ride': 1.83, 'fast': 0.584, 'interesting': 0.341, 'smart': 0.316, 'quickly': 0.275}","{'ride': 0.982, 'fast': 0.227, 'interesting': 0.543, 'smart': 0.537, 'quickly': 0.154}",synonym_antonym
1187,struggles,0,-0.133,"{'best': 0.379, 'keep': 0.146, 'begin': 0.305, 'stop': 1.569, 'survive': 0.639, 'ride': 1.83}",{'fire': 0.042},antonym
1188,aged,0,-0.134,"{'young': 0.431, 'modern': 0.439, 'present': 0.435}","{'future': 0.154, 'current': 0.627, 'present': 0.553}",antonym
1189,another,0,0.103,"{'same': 0.15, 'present': 0.435}",{'same': -0.751},antonym
1190,fond,1,-0.405,{'cool': 0.793},{'cool': 1.151},antonym
1191,till,0,0.073,{'die': 0.544},{'die': -0.366},antonym
1192,grey,0,-0.228,"{'young': 0.431, 'colorful': 0.538, 'white': 0.006}",{'chromatic': 0.0},oov_antonym
1193,cruel,1,-0.143,{'right': 0.538},{'right': 0.219},antonym
1194,black,0,0.023,"{'light': 0.22, 'white': 0.006}",{'white': -0.2},antonym
1195,engaged,0,0.031,{},{'idle': 0.0},oov_antonym
1196,billionaire,0,-0.149,{'lose': 0.656},{'lose': 0.122},antonym
1197,animals,0,-0.532,"{'male': 0.109, 'woman': 0.561}","{'black': 0.023, 'recall': 0.338, 'ride': 0.982, 'strong': 1.115, 'follow': 0.39, 'best': 0.525, 'secondary': 0.16}",synonym_antonym
1198,basis,0,-0.151,{'right': 0.538},{'right': 0.219},antonym
1199,blue,0,-0.25,"{'happy': 0.301, 'light': 0.22, 'lively': 0.361}","{'happy': 0.368, 'light': 0.337, 'lively': 0.361}",antonym
1200,various,0,-0.081,{'same': 0.15},"{'similar': 0.43, 'like': 0.137}",synonym_antonym
1201,couple,0,0.049,{'fall': 0.141},{'female': -1.742},synonym_antonym
1202,shifter,0,0.075,{},{'rotor': 0.0},oov_antonym
1203,1st,0,-0.11,{'secondary': 0.16},"{'back': 0.204, 'secondary': 0.16}",antonym
1204,real,0,-0.211,{'impossible': 0.081},{'current': 0.627},synonym_antonym
1205,me,0,-0.116,{'new': 0.379},{'new': 0.361},antonym
1206,grasp,0,-0.224,"{'continue': 0.237, 'win': 1.138, 'miss': 0.604, 'start': 0.662, 'survive': 0.639, 'stand': 0.223}","{'win': 0.906, 'miss': 0.409, 'start': 0.329, 'survive': 0.418}",synonym_antonym
1207,finally,0,0.366,{'best': 0.379},{},empty
1208,but,0,-0.349,{'wrong': 1.271},{'wrong': 0.641},synonym_antonym
1209,conclusion,0,-0.763,"{'spell': 0.353, 'recall': 0.338}","{'spell': 0.207, 'recall': 0.338}",antonym
1210,includes,0,-0.161,"{'go': 0.185, 'change': 0.879, 'inside': 0.257, 'right': 0.538, 'stay': 0.14, 'lose': 0.656, 'smooth': 0.919, 'clean': 1.006, 'survive': 0.639, 'stand': 0.223}","{'change': 0.311, 'inside': 0.245, 'right': 0.219, 'stay': 0.399, 'lose': 0.122, 'smooth': 0.862, 'clean': 0.426, 'survive': 0.418}",synonym_antonym
1211,organized,0,0.653,{},{'unorganized': 0.0},oov_antonym
1212,process,0,0.602,"{'fall': 0.141, 'ending': 0.24}",{'ending': -0.219},antonym
1213,many,0,-0.337,{'few': 0.116},{'few': 0.154},antonym
1214,road,0,0.396,{'pull': 0.203},{'pull': -0.049},antonym
1215,be,0,-0.131,{'change': 0.879},"{'change': 0.311, 'agree': 0.305}",antonym
1216,books,0,-0.119,"{'same': 0.15, 'male': 0.109, 'stay': 0.14, 'truth': 0.408}","{'stay': 0.399, 'truth': 1.129, 'answer': 0.183}",synonym_antonym
1217,picking,0,0.386,{},{'push': -0.752},antonym
1218,there,0,0.217,{},{'here': 0.0},oov_antonym
1219,3rd,0,0.626,{'some': 0.411},{'all': -0.003},synonym_antonym
1220,connect,0,-0.406,"{'right': 0.538, 'front': 0.219}","{'right': 0.219, 'front': 0.219, 'back': 0.204}",synonym_antonym
1221,lines,0,0.654,{'clean': 1.006},{'divest': 0.0},oov_antonym
1222,overcome,0,0.291,"{'ride': 1.83, 'front': 0.219, 'success': 0.008, 'fill': 0.162, 'good': 0.861, 'pull': 0.203, 'ending': 0.24, 'up': 0.112, 'enjoy': 0.17, 'lose': 0.656, 'stay': 0.14}","{'push': -0.752, 'beginning': -0.085, 'fill': -0.485, 'pull': -0.049, 'ending': -0.219, 'make': -0.319}",synonym_antonym
1223,date,0,0.095,"{'dominant': 0.928, 'unknown': 0.464}",{},empty
1224,over,0,-0.576,{'end': 0.688},{'end': 0.821},antonym
1225,taking,0,0.446,{},{'ugly': -1.081},antonym
1226,ways,0,-0.748,{},{'natural object': 0.0},oov_antonym
1227,about,0,0.005,"{'little': 0.584, 'ordinary': 0.806, 'go': 0.185}","{'no': -1.045, 'all': -0.003, 'little': -0.175, 'go': -0.151}",antonym
1228,offensive,1,-0.479,{'fair': 0.201},{'unoffending': 0.0},oov_antonym
1229,leave,0,-0.562,{'close': 0.595},{'close': 1.103},antonym
1230,sucked,1,-0.888,"{'cool': 0.793, 'take': 0.54, 'stay': 0.14, 'charge': 0.822}","{'cool': 1.151, 'take': 0.241, 'stay': 0.399}",synonym_antonym
1231,minute,0,-0.568,"{'sweet': 1.319, 'front': 0.219, 'day': 0.404}","{'sweet': 1.102, 'large': 0.285, 'front': 0.219, 'day': 0.464}",synonym_antonym
1232,passionate,1,0.084,"{'cool': 0.793, 'dark': 0.652, 'full': 0.416, 'far': 0.039, 'clean': 1.006, 'young': 0.431, 'quiet': 0.379}","{'dull': -1.066, 'dark': -0.465, 'far': -0.333, 'young': -0.595}",synonym_antonym
1233,protection,0,0.531,"{'forget': 0.772, 'change': 0.879, 'fast': 0.584}",{'free': -1.085},antonym
1234,time,0,-0.01,{'present': 0.435},{'present': 0.553},antonym
1235,intro,0,-0.44,"{'end': 0.688, 'go': 0.185}","{'end': 0.821, 'opening': 0.418}",synonym_antonym
1236,personality,0,-0.184,{'difference': 0.023},"{'top': 0.086, 'side': 0.187, 'trust': 0.888, 'married': 0.345}",synonym_antonym
1237,send,0,-0.647,"{'open': 0.645, 'ride': 1.83, 'go': 0.185, 'fall': 0.141, 'best': 0.379, 'start': 0.662, 'pull': 0.203, 'stay': 0.14, 'come': 0.05}",{'opening': 0.418},antonym
1238,despite,0,-0.134,"{'mind': 0.088, 'win': 1.138, 'stay': 0.14, 'fat': 0.028}","{'win': 0.906, 'stay': 0.399, 'fat': 0.028}",synonym_antonym
1239,fetched,0,-0.553,"{'go': 0.185, 'lose': 0.656}","{'lose': 0.122, 'sell': 0.128}",antonym
1240,story,0,-0.305,{},{'belief': 0.0},oov_antonym
1241,thought,0,-0.16,"{'father': 0.052, 'truth': 0.408, 'light': 0.22, 'heavy': 0.593, 'question': 0.241, 'stay': 0.14, 'open': 0.645, 'break': 0.189, 'happiness': 0.684, 'fear': 0.657, 'hope': 0.878, 'sadness': 0.219, 'pain': 0.204, 'miss': 0.604, 'present': 0.435, 'good': 0.861, 'plain': 0.115}","{'truth': 1.129, 'light': 0.337, 'question': 0.241, 'stay': 0.399, 'particular': 0.194, 'happiness': 0.276, 'fear': 0.342, 'hope': 0.782, 'dislike': 0.235, 'sadness': 0.219, 'miss': 0.409, 'present': 0.553, 'good': 1.216}",synonym_antonym
1242,zombie,0,0.171,{'happiness': 0.684},"{'adult': -0.674, 'female': -1.742, 'juvenile': -1.104}",synonym_antonym
1243,clutter,1,-0.189,{'order': 0.546},{'order': 0.377},antonym
1244,dead,1,0.511,"{'alive': 0.573, 'up': 0.112}","{'early': -0.104, 'middle': -0.304}",antonym
1245,soft,0,-0.189,"{'loud': 0.91, 'careful': 0.154, 'mature': 0.071}","{'loud': 0.815, 'mature': 0.17, 'fit': 0.219, 'organized': 0.653}",synonym_antonym
1246,special,0,0.091,{'normal': 0.614},{'general': -0.117},antonym
1247,wants,0,-0.097,"{'survive': 0.639, 'wish': 0.391, 'worth': 0.121, 'pull': 0.203, 'easy': 1.055, 'plain': 0.115, 'forget': 0.772, 'attention': 0.148, 'go': 0.185, 'fall': 0.141, 'success': 0.008}","{'survive': 0.418, 'wish': 0.471, 'attract': 0.014, 'worth': 0.46, 'easy': 0.709, 'dislike': 0.235, 'attention': 0.346, 'advance': 0.454, 'fall': 0.319, 'success': 0.008}",synonym_antonym
1248,extreme,0,-0.19,{'fall': 0.141},{'fall': 0.319},antonym
1249,completely,0,0.004,{'some': 0.411},"{'no': -1.045, 'incomplete': -1.489}",antonym
1250,cared,0,-0.192,{},{'uncared-for': 0.0},oov_antonym
1251,mark,0,0.146,"{'shared': 0.736, 'stay': 0.14, 'forget': 0.772}","{'connect': -0.406, 'forget': -1.009}",synonym_antonym
1252,trying,0,0.001,{'easy': 1.055},{'easy': 0.0},oov_antonym
1253,unnecessary,0,0.431,{'valuable': 0.06},{'necessary': -0.57},antonym
1254,bed,0,-0.316,{'stand': 0.223},"{'advance': 0.454, 'fall': 0.319, 'follow': 0.39, 'spell': 0.207, 'recall': 0.338, 'human': 0.046, 'voice': 0.867}",synonym_antonym
1255,finished,0,0.285,{},"{'unfinished': -0.165, 'rough': -0.247}",antonym
1256,crafted,0,-0.099,{},{'machine-made': 0.0},oov_antonym
1257,known,0,-0.409,{'unknown': 0.464},{'unknown': 0.464},antonym
1258,dad,0,-0.055,{'child': 0.524},"{'mother': 0.304, 'child': 0.279}",antonym
1259,complete,0,-0.177,"{'alive': 0.573, 'up': 0.112, 'loss': 0.368, 'begin': 0.305, 'solid': 1.239, 'clear': 0.375, 'cool': 0.793, 'some': 0.411, 'light': 0.22}","{'alive': 0.362, 'up': 0.166, 'gain': 0.108, 'begin': 0.751, 'solid': 1.16, 'clear': 0.019, 'cool': 1.151, 'some': 0.077, 'light': 0.337}",synonym_antonym
1260,gods,0,-0.205,{},{'irreligious': 0.0},oov_antonym
1261,ha,0,-0.207,{'cry': 1.41},{'cry': 0.353},antonym
1262,tone,0,-0.429,"{'open': 0.645, 'begin': 0.305, 'continue': 0.237}",{'begin': 0.751},synonym_antonym
1263,hate,1,-0.71,"{'love': 1.626, 'good': 0.861}","{'love': 1.521, 'like': 0.137, 'good': 1.216}",antonym
1264,point,0,-0.515,"{'right': 0.538, 'front': 0.219}","{'right': 0.219, 'front': 0.219, 'back': 0.204}",antonym
1265,goodness,1,-0.321,"{'difference': 0.023, 'ability': 0.079, 'power': 0.134, 'good': 0.861, 'worth': 0.121, 'go': 0.185, 'side': 0.904}","{'ability': 0.153, 'power': 1.491, 'good': 1.216, 'worth': 0.46, 'worthy': 0.269, 'side': 0.187}",synonym_antonym
1266,lacks,1,-0.21,"{'ability': 0.079, 'stay': 0.14}","{'ability': 0.153, 'include': 0.228, 'stay': 0.399, 'sell': 0.128, 'comedy': 0.182}",synonym_antonym
1267,minded,0,-0.514,{},{'unoriented': 0.0},oov_antonym
1268,months,0,0.24,"{'day': 0.404, 'night': 0.829, 'dominant': 0.928, 'unknown': 0.464}","{'incomplete': -1.489, 'low': -0.214}",antonym
1269,receive,0,-0.21,"{'lose': 0.656, 'recall': 0.338, 'pull': 0.203}","{'moving': 0.39, 'lose': 0.122, 'sell': 0.128, 'welcome': 0.018, 'rush': 1.001, 'recall': 0.338}",synonym_antonym
1270,self,0,-0.429,{},{'follow': 0.39},synonym_antonym
1271,box,0,0.283,{'right': 0.538},{'incidental': 0.0},oov_antonym
1272,thank,0,0.29,"{'go': 0.185, 'forget': 0.772}","{'go': -0.151, 'forget': -1.009}",antonym
1273,sisters,0,0.658,{'brother': 0.271},{'brother': 0.0},oov_antonym
1274,closure,0,-0.281,{'action': 0.648},{'action': 0.668},antonym
1275,under,0,-0.829,{'side': 0.904},{'side': 0.187},antonym
1276,get,0,-0.158,{'lose': 0.656},"{'lose': 0.122, 'sell': 0.128}",antonym
1277,got,0,-0.441,{'lose': 0.656},"{'lose': 0.122, 'sell': 0.128}",antonym
1278,holly,0,-0.218,{'husband': 0.427},"{'wife': 0.518, 'husband': 0.406}",antonym
1279,fairly,0,-0.067,{'good': 0.861},{'good': 1.216},antonym
1280,abuse,1,0.028,"{'right': 0.538, 'ride': 1.83}","{'standard': -0.799, 'original': -0.232}",synonym_antonym
1281,installments,0,-0.22,{},{'death': 0.516},antonym
1282,sassy,0,-0.22,{'old': 0.154},{'back': 0.204},synonym_antonym
1283,seen,0,-0.042,"{'stay': 0.14, 'miss': 0.604, 'worry': 0.829, 'lose': 0.656, 'open': 0.645, 'keep': 0.146}","{'rush': 1.001, 'stay': 0.399, 'miss': 0.409, 'worry': 0.829, 'lose': 0.122, 'keep': 0.39}",synonym_antonym
1284,quotes,0,-0.223,{'add': 0.725},{'add': 0.412},antonym
1285,serial,0,-0.081,{},{'disordered': 0.0},oov_antonym
1286,rare,0,-0.358,{'fat': 0.028},{'fat': 0.028},antonym
1287,says,0,-0.083,"{'loss': 0.368, 'late': 1.145, 'voice': 0.867, 'background': 0.392, 'rich': 0.762, 'break': 0.189, 'laugh': 1.144, 'take': 0.54, 'mature': 0.071, 'truth': 0.408, 'clear': 0.375, 'professional': 0.46, 'end': 0.688, 'stay': 0.14, 'open': 0.645, 'recall': 0.338, 'lose': 0.656}","{'gain': 0.108, 'back': 0.204, 'late': 1.256, 'voice': 0.867, 'rich': 0.017, 'welcome': 0.018, 'laugh': 1.06, 'take': 0.241, 'mature': 0.17, 'truth': 1.129, 'clear': 0.019, 'written': 0.351, 'sit': 0.225, 'professional': 0.46, 'end': 0.821, 'stay': 0.399, 'past': 0.244, 'future': 0.154, 'recall': 0.338, 'lose': 0.122}",synonym_antonym
1288,original,0,-0.232,"{'last': 1.003, 'late': 1.145}","{'last': 0.244, 'late': 1.256}",antonym
1289,out,0,-0.132,{'safe': 1.023},{'safe': 0.879},antonym
1290,falling,0,0.579,{'wide': 0.668},{'increasing': 0.0},oov_antonym
1291,high,0,-0.298,"{'side': 0.904, 'present': 0.435, 'intense': 1.272, 'light': 0.22, 'close': 0.595}","{'moving': 0.39, 'side': 0.187, 'present': 0.553, 'future': 0.154, 'intense': 1.087, 'light': 0.337, 'close': 1.103}",synonym_antonym
1292,ill,1,-0.232,{'well': 0.953},"{'healthy': 1.074, 'well': 0.646, 'fit': 0.219}",antonym
1293,character,0,-0.057,"{'top': 0.957, 'side': 0.904}","{'top': 0.086, 'side': 0.187}",antonym
1294,shows,0,-0.57,"{'take': 0.54, 'open': 0.645, 'recall': 0.338, 'close': 0.595}","{'take': 0.241, 'past': 0.244, 'future': 0.154, 'recall': 0.338, 'close': 1.103}",synonym_antonym
1295,bought,0,0.204,{'homemade': 0.307},{'homemade': 0.0},oov_antonym
1296,adult,0,-0.674,"{'male': 0.109, 'woman': 0.561}",{'black': 0.023},antonym
1297,making,0,0.392,{'loud': 0.91},{'unsuitableness': 0.0},oov_antonym
1298,before,0,-0.708,{'down': 1.414},"{'down': 1.004, 'back': 0.204}",antonym
1299,likely,0,0.768,{'impossible': 0.081},"{'unlikely': -0.768, 'impossible': -0.521}",antonym
1300,wet,0,-0.239,"{'clear': 0.375, 'careful': 0.154, 'stay': 0.14, 'clean': 1.006, 'light': 0.22, 'cool': 0.793, 'new': 0.379, 'decent': 0.471, 'fair': 0.201, 'nice': 0.856, 'colorful': 0.538, 'pleasant': 0.445}","{'clean': 0.426, 'light': 0.337, 'clear': 0.019, 'stay': 0.399, 'cool': 1.151, 'wholesome': 0.292, 'new': 0.361, 'expensive': 0.349, 'decent': 0.322, 'nice': 1.156, 'pleasant': 0.233}",synonym_antonym
1301,comments,0,-0.24,{'open': 0.645},"{'add': 0.412, 'truth': 1.129, 'rich': 0.017, 'stay': 0.399}",synonym_antonym
1302,demons,0,0.317,{'miss': 0.604},{'please': -0.431},antonym
1303,car,0,-0.324,{'stay': 0.14},{'stay': 0.399},antonym
1304,favorites,1,0.693,{'continuation': 0.521},{'push': -0.752},antonym
1305,teen,0,0.235,"{'old': 0.154, 'mature': 0.071, 'woman': 0.561}","{'old': -0.326, 'woman': -0.213}",antonym
1306,patience,0,-0.134,{},{'rush': 1.001},synonym_antonym
1307,drop,0,-0.245,"{'continue': 0.237, 'win': 1.138, 'ride': 1.83, 'go': 0.185, 'fall': 0.141, 'charge': 0.822}","{'win': 0.906, 'ride': 0.982, 'advance': 0.454, 'fall': 0.319, 'follow': 0.39}",synonym_antonym
1308,hour,0,-0.23,"{'sweet': 1.319, 'male': 0.109, 'front': 0.219, 'day': 0.404}","{'sweet': 1.102, 'large': 0.285, 'front': 0.219, 'day': 0.464, 'past': 0.244}",synonym_antonym
1309,major,0,0.304,{'down': 1.414},"{'stupidity': -1.093, 'lack': -0.328}",synonym_antonym
1310,type,0,-0.391,"{'lose': 0.656, 'same': 0.15, 'recall': 0.338}","{'lose': 0.122, 'recall': 0.338}",synonym_antonym
1311,dimensional,0,-0.519,{'tasty': 0.162},{'unidimensional': 0.0},oov_antonym
1312,format,0,0.432,{},{'connect': -0.406},antonym
1313,at,0,-0.349,{},{'software': 0.0},oov_antonym
1314,entertained,1,-0.269,{},{'displeased': 0.0},oov_antonym
1315,rubbish,1,-0.555,"{'heat': 0.663, 'stay': 0.14, 'order': 0.546, 'lose': 0.656}","{'heat': 0.641, 'stay': 0.399, 'order': 0.377, 'lose': 0.122}",synonym_antonym
1316,act,0,-0.25,"{'ride': 1.83, 'avoid': 0.472}",{'ride': 0.982},antonym
1317,negative,1,-0.164,"{'difference': 0.023, 'ability': 0.079, 'power': 0.134, 'good': 0.861, 'worth': 0.121, 'pleasant': 0.445}","{'ability': 0.153, 'power': 1.491, 'good': 1.216, 'worth': 0.46, 'pleasant': 0.233, 'lovable': 0.252, 'friendly': 0.221}",synonym_antonym
1318,several,0,-0.214,"{'same': 0.15, 'familiar': 0.298, 'male': 0.109}",{'common': 0.0},oov_antonym
1319,dry,1,-0.306,"{'sweet': 1.319, 'fat': 0.028, 'wide': 0.668, 'full': 0.416, 'lively': 0.361, 'fresh': 1.062, 'colorful': 0.538, 'cool': 0.793, 'stay': 0.14}","{'sweet': 1.102, 'fat': 0.028, 'wide': 0.668, 'full': 0.201, 'lively': 0.361, 'fresh': 0.436, 'cool': 1.151, 'stay': 0.399}",synonym_antonym
1320,like,1,0.137,"{'fall': 0.141, 'different': 0.813, 'forward': 1.588}","{'hate': -0.71, 'pack': -0.013}",synonym_antonym
1321,tough,1,-0.432,{'easy': 1.055},{'easy': 0.709},synonym_antonym
1322,starting,0,0.42,"{'end': 0.688, 'ending': 0.24}","{'ending': -0.219, 'middle': -0.304}",antonym
1323,nasty,1,-0.476,"{'nice': 0.856, 'pleasant': 0.445}","{'nice': 1.156, 'pleasant': 0.233}",antonym
1324,cost,0,0.216,"{'appreciate': 1.008, 'take': 0.54, 'stay': 0.14}","{'focus': -0.292, 'wet': -0.239, 'basic': -0.796}",synonym_antonym
1325,rhyming,0,-0.256,{'different': 0.813},{'different': 0.271},antonym
1326,was,0,-0.373,{'change': 0.879},{},empty
1327,concerned,0,0.039,"{'easy': 1.055, 'quiet': 0.379, 'new': 0.379}",{'free': -1.085},synonym_antonym
1328,explain,0,0.193,"{'exciting': 0.996, 'stay': 0.14, 'twist': 1.32, 'young': 0.431, 'charge': 0.822, 'open': 0.645}","{'weave': -0.57, 'young': -0.595, 'immature': -0.475, 'charge': -0.497, 'open': -0.062}",synonym_antonym
1329,lives,0,0.372,{'fall': 0.141},"{'juvenile': -1.104, 'admit': -0.364, 'let': -0.665, 'free': -1.085, 'break': -0.172, 'woman': -0.213, 'level': -0.225, 'poor': -1.049, 'dull': -1.066, 'charge': -0.497, 'stand': -0.849}",synonym_antonym
1330,contains,0,-0.603,{'smooth': 0.919},{'smooth': 0.862},synonym_antonym
1331,nearly,0,0.394,"{'go': 0.185, 'far': 0.039}","{'go': -0.151, 'far': -0.333, 'generous': -0.599}",antonym
1332,why,0,-0.77,"{'begin': 0.305, 'stay': 0.14}","{'begin': 0.751, 'stay': 0.399}",synonym_antonym
1333,gone,0,0.732,{'successful': 0.392},"{'charged': -0.025, 'incomplete': -1.489}",antonym
1334,mini,0,0.179,{},{'confront': 0.0},oov_antonym
1335,cover,0,0.063,{'clean': 1.006},"{'small': -0.721, 'bad': -0.784, 'common': -0.212, 'dull': -1.066, 'dry': -0.306, 'young': -0.595, 'invest': -0.049, 'level': -0.225, 'break': -0.172, 'give': -0.209, 'better': -0.291, 'respect': -0.598, 'activity': -0.375, 'low': -0.214, 'stand': -0.849, 'fair': -0.99, 'specific': -0.593, 'buy': -0.115, 'generous': -0.599, 'leave': -0.562, 'white': -0.2, 'wet': -0.239}",synonym_antonym
1336,huge,0,-0.353,"{'little': 0.584, 'small': 0.184}",{'ordinary': 0.806},synonym_antonym
1337,share,0,0.301,{'stay': 0.14},"{'beginning': -0.085, 'middle': -0.304, 'connect': -0.406, 'lack': -0.328, 'gross': -1.032, 'loss': -0.304, 'focus': -0.292, 'wet': -0.239}",synonym_antonym
1338,sound,0,-0.208,"{'lose': 0.656, 'continue': 0.237}",{'lose': 0.122},synonym_antonym
1339,table,0,-0.267,{'stay': 0.14},{'stay': 0.399},synonym_antonym
1340,piece,0,-0.053,{'start': 0.662},{'start': 0.329},antonym
1341,pissed,0,-0.227,"{'pleased': 1.154, 'woman': 0.561, 'easy': 1.055}","{'pleased': 1.014, 'easy': 0.709, 'loose': 0.352}",synonym_antonym
1342,romp,0,0.148,"{'lose': 0.656, 'start': 0.662}",{'man': -0.3},antonym
1343,follows,0,-0.271,"{'ride': 1.83, 'go': 0.185, 'fall': 0.141, 'right': 0.538}","{'ride': 0.982, 'advance': 0.454, 'fall': 0.319, 'follow': 0.39, 'right': 0.219, 'rush': 1.001}",synonym_antonym
1344,advice,0,0.295,{'plain': 0.115},{'plain': -0.167},synonym_antonym
1345,romances,0,0.38,{'ride': 1.83},{'rise': 0.0},oov_antonym
1346,human,0,0.046,{'woman': 0.561},"{'woman': -0.213, 'juvenile': -1.104, 'female': -1.742}",antonym
1347,listening,0,-0.274,{'hope': 0.878},{'figure': 0.123},antonym
1348,back,0,0.204,{'front': 0.219},{'big': -0.25},antonym
1349,selections,0,-0.275,{'continuation': 0.521},"{'spell': 0.207, 'recall': 0.338, 'question': 0.241, 'here': 0.424, 'ride': 0.982}",synonym_antonym
1350,ben,0,-0.468,{'fall': 0.141},{'fall': 0.319},antonym
